name,address_street,city,state,zip,country,phone,website,google_maps_url,category_primary,category_secondary,google_rating,google_reviews_count,hours,review_keywords,hour
Bernard's Pinoy Food,1650 May Ave,Chula Vista,CA,91913,US,,,https://www.google.com/maps/place/Bernard%27s+Pinoy+Food/data=!4m7!3m6!1s0x80d9451438727a35:0x8f91cc1bd9266dab!8m2!3d32.6166907!4d-116.9803902!16s%2Fg%2F11mcvqxj02!19sChIJNXpyOBRF2YARq20m2RvMkY8?authuser=0&hl=en&rclk=1,Restaurant,,0,0,,,
Bread and Butter,4573 N Fresno St #102,Fresno,CA,93726,US,(559) 712-0221,,https://www.google.com/maps/place/Bread+and+Butter/data=!4m7!3m6!1s0x80945d27457e4f79:0x766e4448f6ef4437!8m2!3d36.8006643!4d-119.7819893!16s%2Fg%2F11jsvsm2qs!19sChIJeU9-RSddlIARN0Tv9khEbnY?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",,4.8,67,10 AM-5 PM,"senorita bread, ube bread, farmers market, cinnamon, ube brownies, sweet, pandesal, star bread, filipino, jam",
Bulacan Bakeshop & Catering,2256 Colorado Blvd #110,Los Angeles,CA,90041,US,(323) 255-0888,,https://www.google.com/maps/place/Bulacan+Bakeshop+%26+Catering/data=!4m7!3m6!1s0x80c2c1664ca4cdab:0x95c0a32077b9e057!8m2!3d34.1389332!4d-118.2157478!16s%2Fg%2F11gbs4gnt1!19sChIJq82kTGbBwoARV-C5dyCjwJU?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",Quick Bites & Turo-Turo,3.9,61,7 AM-4 PM,"price, breakfast, filipino food, bangus, hopia, comfort food, fast food",
Bulan Filipino Grill,956 W Foothill Blvd,Claremont,CA,91711,US,(909) 276-8995,https://www.facebook.com/profile.php?id=61562147706114&mibextid=ZbWKwL,https://www.google.com/maps/place/Bulan+Filipino+Grill/data=!4m7!3m6!1s0x80c33b6c3078fbad:0xac638568773a1d95!8m2!3d34.1067867!4d-117.7331557!16s%2Fg%2F11y95cm1l1!19sChIJrft4MGw7w4ARlR06d2iFY6w?authuser=0&hl=en&rclk=1,Quick Bites & Turo-Turo,Restaurant,4.7,48,10 AM-8 PM,"pork, filipino food, pancit, prices, lumpia, plate, garlic fried rice, chicken skewers, chicken adobo, silog",
Cabalen sweets&savory,1419 San Carlos Ave,Concord,CA,94518,US,(510) 200-2951,https://www.cabalensweetandsavory.com/,https://www.google.com/maps/place/Cabalen+sweets%26savory/data=!4m7!3m6!1s0x808567e753e706df:0xd6446e2bc06b0dc4!8m2!3d37.9720132!4d-122.0253102!16s%2Fg%2F11hhmrk7nb!19sChIJ3wbnU-dnhYARxA1rwCtuRNY?authuser=0&hl=en&rclk=1,Restaurant,"Bakery, Dessert & Cafe",5,1,,,
Casa Filipina Restaurant & Bke,22102 Main St,Carson,CA,90745,US,(310) 835-2193,,https://www.google.com/maps/place/Casa+Filipina+Restaurant+%26+Bke/data=!4m7!3m6!1s0x80dd3512cb42ba0f:0x8818cd44ecd7e6e0!8m2!3d33.8266845!4d-118.2762786!16s%2Fg%2F1w0p5yfn!19sChIJD7pCyxI13YAR4ObX7ETNGIg?authuser=0&hl=en&rclk=1,Restaurant,"Bakery, Dessert & Cafe",4.4,21,9 AM-6:30 PM,,
Claire's Pastries & Restaurant,6259 Mission St #6255,Daly City,CA,94014,US,(650) 758-4500,,https://www.google.com/maps/place/Claire%27s+Pastries+%26+Restaurant/data=!4m7!3m6!1s0x808f7c3c8d66f621:0x3918e0344129346a!8m2!3d37.7060921!4d-122.460297!16s%2Fg%2F1tfppy6f!19sChIJIfZmjTx8j4ARajQpQTTgGDk?authuser=0&hl=en&rclk=1,Restaurant,,4.4,24,8 AM-2 PM,,
Daniela's Kitchenette (Inside of Fresh Catch Market),11618 South St,Artesia,CA,90701,US,(562) 402-6727,https://cyrusramsey.com/places/danielas-kitchenette-inside-of-fresh-catch-market/,https://www.google.com/maps/place/Daniela%27s+Kitchenette+%28Inside+of+Fresh+Catch+Market%29/data=!4m7!3m6!1s0x80dd2da0543b2fd1:0x69b38bce42d033a3!8m2!3d33.8571101!4d-118.0856569!16s%2Fg%2F1tj5lg9v!19sChIJ0S87VKAt3YARozPQQs6Ls2k?authuser=0&hl=en&rclk=1,Restaurant,Supermarket & Grocery,4.6,32,7 AM-2 PM,"breakfast, price",
Dollar Hits,2432 W Temple St,Los Angeles,CA,90026,US,(213) 908-6000,http://dollarhitsstreetfood.com/,https://www.google.com/maps/place/Dollar+Hits/data=!4m7!3m6!1s0x80c2c712656a04df:0x7f1d74345761c7a2!8m2!3d34.0714639!4d-118.2729285!16s%2Fg%2F11b77pb6c7!19sChIJ3wRqZRLHwoARosdhVzR0HX8?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,4.4,944,7 AM-11 PM,"street food, grill, skewers, balut, cucumber, pork blood, quail eggs, netflix, pig ears, tokneneng",
Donutealo,56 San Pedro Rd,Daly City,CA,94014,US,(650) 488-0888,,https://www.google.com/maps/place/Donutealo/data=!4m7!3m6!1s0x808f7c0d6c8b0001:0x559bce01b6e760ac!8m2!3d37.6895138!4d-122.4675224!16s%2Fg%2F11fll61xdt!19sChIJAQCLbA18j4ARrGDntgHOm1U?authuser=0&hl=en&rclk=1,Supermarket & Grocery,"Bakery, Dessert & Cafe",3.4,5,7 AM-6 PM,hopia,
Elay's Oriental Store,671 1st St,Gilroy,CA,95020,US,(669) 239-0930,,"https://www.google.com/maps/place/Elay%E2%80%99s+Oriental+Store/@37.0139323,-121.5811376,17z/data=!3m1!4b1!4m6!3m5!1s0x8091e18abf8e7487:0x4bce627f865e371e!8m2!3d37.0139323!4d-121.5811376!16s%2Fg%2F11lrf7z6k8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Supermarket & Grocery,"Bakery, Dessert & Cafe",4.8,36,9:30 AM-6:30 PM,"filipino food, ice cream",
Fil Am Oriental Market,34010 Date Palm Dr,Cathedral City,CA,92234,US,(760) 770-4569,,https://www.google.com/maps/place/Fil+Am+Oriental+Market/data=!4m7!3m6!1s0x80db1d2ef67fcaab:0x55a2d59a20f6d8ce!8m2!3d33.8011621!4d-116.4576436!16s%2Fg%2F1tjyn_t9!19sChIJq8p_9i4d24ARztj2IJrVolU?authuser=0&hl=en&rclk=1,Supermarket & Grocery,"Bakery, Dessert & Cafe",4.5,440,9 AM-7 PM,"filipino food, pancit, take out, ingredients, halo-halo, fresh produce, pork, boba, adobo, lumpia",
Fil Bake Shop,441 Cecil Ave,Delano,CA,93215,US,(661) 725-6370,,https://www.google.com/maps/place/Fil+Bake+Shop/data=!4m7!3m6!1s0x80eae5e9f27aff3f:0x6ede2ebeceec4bc1!8m2!3d35.7762197!4d-119.2540829!16s%2Fg%2F1tdv_5y7!19sChIJP_968unl6oARwUvszr4u3m4?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",,4.7,263,4 AM-3 PM,"lady fingers, pandesal, price, rolls, cream cheese, filipino, lumpia, ube, banana, spanish bread",
Filipino Desserts Plus - Chula Vista,285 E Orange Ave UNIT 104,Chula Vista,CA,91911,US,(619) 420-6748,https://www.filipinodessertsplus.com/,https://www.google.com/maps/place/Filipino+Desserts+Plus+-+Chula+Vista/data=!4m7!3m6!1s0x80d94ee460391201:0xe4bb84db270d8834!8m2!3d32.605275!4d-117.040555!16s%2Fg%2F1261l7rxh!19sChIJARI5YORO2YARNIgNJ9uEu-Q?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",Quick Bites & Turo-Turo,3.1,14,8 AM-8 PM,"filipino food, seafood, kutsinta, puto, pancit, ube, expiration date, price",
Filipino Store,9522 Chapman Ave Suites A&B,Garden Grove,CA,92841,US,(714) 539-1158,,https://www.google.com/maps/place/Filipino+Store/data=!4m7!3m6!1s0x80dd285e141f3853:0x2120dde36446eaaf!8m2!3d33.788276!4d-117.9669381!16s%2Fg%2F1tf60lh8!19sChIJUzgfFF4o3YARr-pGZOPdICE?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.4,42,9:30 AM-5:30 PM,filipino food,
FILLED MARKET / MANILA DISTRICT LA,1801 E 7th St,Los Angeles,CA,90021,US,(213) 550-3318,,"https://www.google.com/maps/place/FILLED+MARKET+%2F+MANILA+DISTRICT+LA/@34.0350182,-118.2342944,17z/data=!3m1!4b1!4m6!3m5!1s0x80c2c70cb6967ba3:0xf0b81d6779fe028a!8m2!3d34.0350182!4d-118.2342944!16s%2Fg%2F11k6n3bbpb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDgyNS4wIKXMDSoASAFQAw%3D%3D",Supermarket & Grocery,,4.7,18,,vendors,
Fresh Catch Seafood Market,11618 South St,Artesia,CA,90701,US,(562) 402-2133,,https://www.google.com/maps/place/Fresh+Catch+Seafood+Market/data=!4m7!3m6!1s0x80dd2da10b6249e5:0xb01c80b4f85feffc!8m2!3d33.8572302!4d-118.085727!16s%2Fg%2F11c581_zk9!19sChIJ5UliC6Et3YAR_O9f-LSAHLA?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.3,496,8 AM-8 PM,"prices, crabs, asian market, clean, selection, asian food, filipino food, tilapia, fishmonger, halo halo",
Gerry's Grill,11710 South St #107,Artesia,CA,90701,US,(562) 403-1000,https://gerrysgrill.com/usa,https://www.google.com/maps/place/Gerry%27s+Grill/data=!4m7!3m6!1s0x80dd2da12385306b:0x3a052cc75e0ec04c!8m2!3d33.8578822!4d-118.0842034!16s%2Fg%2F1tx_6n_d!19sChIJazCFI6Et3YARTMAOXscsBTo?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,4.4,1144,11 AM-9 PM,"band, grilled squid, tuna, live music, ceviche, tip, sports, course, adobo fried rice, crab",
Hemet Asian Market,1729 W Florida Ave,Hemet,CA,92545,US,(951) 929-6886,,https://www.google.com/maps/place/Hemet+Asian+Market/data=!4m7!3m6!1s0x80db65f9597e8943:0x7885f69bdd570b60!8m2!3d33.746667!4d-116.990707!16s%2Fg%2F1tsr3hgj!19sChIJQ4l-Wfll24ARYAtX3Zv2hXg?authuser=0&hl=en&rclk=1,Supermarket & Grocery,Quick Bites & Turo-Turo,4.3,405,9 AM-5 PM,"prices, filipino food, lumpia, to go, desserts, pancit, sisig, halo halo, lechon, ube",
HuLa Truck,49103 Milmont Dr,Fremont,CA,94538,US,(408) 466-9350,,https://www.google.com/maps/place/HuLa+Truck/data=!4m7!3m6!1s0x808fc97e51eaaaab:0xd8fac447e7a33ffb!8m2!3d37.4584878!4d-121.9211393!16s%2Fg%2F11ghr0cmz5!19sChIJq6rqUX7Jj4AR-z-j50fE-tg?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,Restaurant,3.8,13,11 AM-5 PM,"tater tots, food truck, hot sauce, pico de gallo, burrito, fried",
Ima's Kusina,2030 Diamond Blvd,Concord,CA,94520,US,(925) 446-6391,https://imaskusina.com/,https://www.google.com/maps/place/Ima%27s+Kusina/data=!4m7!3m6!1s0x808566c6a9d96f3d:0xed7069589cb8aef1!8m2!3d37.9735173!4d-122.0557871!16s%2Fg%2F11gf4xxw0y!19sChIJPW_ZqcZmhYAR8a64nFhpcO0?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,3.2,46,9 AM-7 PM,"price, reviews, halo halo, couple, chicharron, adobo",
J B J's Bakery,860 Carson St,Carson,CA,90745,US,(310) 518-6074,http://j-b-js-bakery.jany.io/,https://www.google.com/maps/place/J+B+J%27s+Bakery/data=!4m7!3m6!1s0x80dd356af99ae439:0x1fc7d0155e0fc785!8m2!3d33.8306694!4d-118.2598914!16s%2Fg%2F1hc59x5_s!19sChIJOeSa-Wo13YARhccPXhXQxx8?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",,4.6,61,7 AM-7 PM,"empanadas, pandesal, cheese, ube",
Kainan Sa Kanto,5521 Del Amo Blvd,Lakewood,CA,90713,US,(562) 804-7627,,https://www.google.com/maps/place/Kainan+Sa+Kanto/data=!4m7!3m6!1s0x80dd326335f3e41b:0x83e07b2c947ec99f!8m2!3d33.8474436!4d-118.124254!16s%2Fg%2F11d_y75ytk!19sChIJG-TzNWMy3YARn8l-lCx74IM?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,4.4,102,7 AM-7 PM,"empanada, selection, take out, pork, bbq, bangus, turon, strip mall, goat, tripe",
"Kubo Restaurant, formerly Bahay Kubo",2330 W Temple St,Los Angeles,CA,90026,US,(213) 413-4804,https://bahaykuborestaurant.site/,"https://www.google.com/maps/place/Kubo+Restaurant,+formerly+Bahay+Kubo/data=!4m7!3m6!1s0x80c2c712748a9ac5:0xd7a4acec5bea0d6b!8m2!3d34.0712912!4d-118.271631!16s%2Fg%2F1tdwkscc!19sChIJxZqKdBLHwoARaw3qW-yspNc?authuser=0&hl=en&rclk=1",Restaurant,Quick Bites & Turo-Turo,4.1,374,7 AM-7 PM,"price, parking, BBQ, fried chicken, pork, tax, cafeteria, cash, wash, fish ball",
L.A. Chibugan,4110 Verdugo Rd,Los Angeles,CA,90065,US,(323) 274-4053,https://www.instagram.com/la.chibugan,https://www.google.com/maps/place/L.A.+Chibugan/data=!4m7!3m6!1s0x80c2c10022012ee9:0xfeadaf780df622e6!8m2!3d34.1254742!4d-118.2314756!16s%2Fg%2F11wqccf96s!19sChIJ6S4BIgDBwoAR5iL2DXivrf4?authuser=0&hl=en&rclk=1,Quick Bites & Turo-Turo,Restaurant,4.9,35,9 AM-6 PM,"filipino food, price, atmosphere, bank",
La PriMa Food Truck,590 S Burlingame Ave,Los Angeles,CA,90049,US,(323) 679-5075,,https://www.google.com/maps/place/La+PriMa+Food+Truck/data=!4m7!3m6!1s0x80c2bd0015c466fb:0x720b0f63f3c2ff91!8m2!3d34.0499396!4d-118.483501!16s%2Fg%2F11w2zvtk2n!19sChIJ-2bEFQC9woARkf_C82MPC3I?authuser=0&hl=en&rclk=1,Food Truck & Pop-Up,,4.9,8,7:30 AM-5:30 PM,,
Lasang Pinas Fil-Asian Restaurant,8911 De Soto Ave,Canoga Park,CA,91304,US,(818) 998-4100,,https://www.google.com/maps/place/Lasang+Pinas+Fil-Asian+Restaurant/data=!4m7!3m6!1s0x80c29c85d1998e43:0xb809499bae586c3c!8m2!3d34.2321869!4d-118.5889873!16s%2Fg%2F11f39f_pmd!19sChIJQ46Z0YWcwoARPGxYrptJCbg?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,4.5,38,8 AM-5 PM,"price, beef steak",
Luisa & Son Bake Shop,11620 1/2 South St,Artesia,CA,90701,US,(562) 924-8100,,https://www.google.com/maps/place/Luisa+%26+Son+Bake+Shop/data=!4m7!3m6!1s0x80dd2da0558bc355:0xf7e3751ef5e18aff!8m2!3d33.8572527!4d-118.085532!16s%2Fg%2F1tkl3mjk!19sChIJVcOLVaAt3YAR_4rh9R514_c?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",Quick Bites & Turo-Turo,4.3,203,9 AM-6 PM,"filipino, empanadas, ube, turon, lumpia, hopia, ensaymada, fried, to go, area",
Lutong Bahay Restaurant,3756 W Ave 40,Los Angeles,CA,90065,US,(323) 255-7827,,https://www.google.com/maps/place/Lutong+Bahay+Restaurant/data=!4m7!3m6!1s0x80c2c136f48e0c27:0xf4fcd07febf86ed8!8m2!3d34.1195601!4d-118.2278959!16s%2Fg%2F11cjgc9v_t!19sChIJJwyO9DbBwoAR2G7463_Q_PQ?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,4.2,280,8 AM-7:30 PM,"price, fresh, home, cashier, groceries, cook, shellfish, fried fish, smile, asian",
Mabuhay Kitchen,17220 Norwalk Blvd,Cerritos,CA,90703,US,(562) 924-4600,http://mabuhay-kitchen.keeq.io/,https://www.google.com/maps/place/Mabuhay+Kitchen/data=!4m7!3m6!1s0x80dd2d1b491dee4d:0x23c5c8d1a2fc6f03!8m2!3d33.8737029!4d-118.0710765!16s%2Fg%2F11b88mycyt!19sChIJTe4dSRst3YARA2_8otHIxSM?authuser=0&hl=en&rclk=1,Restaurant,Quick Bites & Turo-Turo,4.1,59,7:30 AM-6 PM,"breakfast, price",
Magat Asian Grocery & Deli,5480 California Ave,Bakersfield,CA,93309,US,(661) 633-0109,,https://www.google.com/maps/place/Magat+Asian+Grocery+%26+Deli/data=!4m7!3m6!1s0x80ea41f64fcda2e7:0xc5295e2ed6e98e0f!8m2!3d35.3577637!4d-119.0616044!16s%2Fg%2F1ths9nzw!19sChIJ56LNT_ZB6oARD47p1i5eKcU?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.5,45,8 AM-6 PM,"filipino food, prices",
Mang Indo Asian Market And Restaurant,25069 Redlands Blvd suite b,Loma Linda,CA,92354,US,(909) 674-0110,https://uscompany.business/business/mang-indo-asian-market-and-restaurant-j73i6g,https://www.google.com/maps/place/Mang+Indo+Asian+Market+And+Restaurant/data=!4m7!3m6!1s0x80dcab3c99eef8fd:0xe6a33a5ff0a91dfd!8m2!3d34.0626121!4d-117.2575534!16s%2Fg%2F11h51d0tp9!19sChIJ_fjumTyr3IAR_R2p8F86o-Y?authuser=0&hl=en&rclk=1,Restaurant,"Bakery, Dessert & Cafe",4.4,77,9:30 AM-6 PM,"price, filipino food, halo halo, karaoke, tofu, grocery store, desserts, label, walking",
Manila Oriental Market,950 King Dr Suite 112,Daly City,CA,94015,US,(650) 878-3328,,https://www.google.com/maps/place/Manila+Oriental+Market/data=!4m7!3m6!1s0x808f7bc82471d7e1:0x4f3aef0383048e5d!8m2!3d37.6515514!4d-122.4689707!16s%2Fg%2F1tl0xkym!19sChIJ4ddxJMh7j4ARXY4EgwPvOk8?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,3.9,931,8 AM-7:30 PM,"prices, seafood, aisles, smell, clean, cashier, parking space, deals, check, fresh",
"Max's TO GO, Granada Hills",11130 Balboa Blvd,Granada Hills,CA,91344,US,(818) 488-9313,https://www.maxsrestaurantna.com/,"https://www.google.com/maps/place/Max%27s+TO+GO,+Granada+Hills/data=!4m7!3m6!1s0x80c29abc36350a71:0x19fe5d95d9b76594!8m2!3d34.2731904!4d-118.5004008!16s%2Fg%2F11l2_8rrwh!19sChIJcQo1NryawoARlGW32ZVd_hk?authuser=0&hl=en&rclk=1",Restaurant,,3.8,4,11 AM-8 PM,,
"Max's To Go, Los Angeles",4641 Santa Monica Blvd,Los Angeles,CA,90029,US,(323) 741-0016,https://www.maxstogola.com/,"https://www.google.com/maps/place/Max%27s+To+Go,+Los+Angeles/data=!4m7!3m6!1s0x80c2c7bed297fa77:0xd8b3bb7fbcb63ea7!8m2!3d34.0920829!4d-118.2909401!16s%2Fg%2F11lnv5dxxv!19sChIJd_qX0r7HwoARpz62vH-7s9g?authuser=0&hl=en&rclk=1",Restaurant,,2.9,7,11 AM-8 PM,,
Mekeni Pinoy's Pride,18152 Pioneer Blvd,Artesia,CA,90701,US,(562) 512-0749,http://mekenipinoyspride.com/,https://www.google.com/maps/place/Mekeni+Pinoy%27s+Pride/data=!4m7!3m6!1s0x80dd2d21ccb2297b:0xe5784534e6600a6d!8m2!3d33.8660243!4d-118.0811801!16s%2Fg%2F11jyl2xlwj!19sChIJeymyzCEt3YARbQpg5jRFeOU?authuser=0&hl=en&rclk=1,Restaurant,,3.9,217,11 AM-8 PM,"buffet, kare kare, breakfast, selection, lobster, parking, skin, tip, review, servers",
My Mom's BakeShop,2434 W Temple St,Los Angeles,CA,90026,US,(213) 380-2425,,https://www.google.com/maps/place/My+Mom%27s+BakeShop/data=!4m7!3m6!1s0x80c2c712c231d819:0x7367ea473eec0f1c!8m2!3d34.0714958!4d-118.2730207!16s%2Fg%2F1ts1shj4!19sChIJGdgxwhLHwoARHA_sPkfqZ3M?authuser=0&hl=en&rclk=1,"Bakery, Dessert & Cafe",Restaurant,4,25,7 AM-8 PM,"pandesal, dessert",
Offie's Restaurant & Catering,16723 Bellflower Blvd,Bellflower,CA,90706,US,(562) 925-0980,http://www.offiescatering.com/,https://www.google.com/maps/place/Offie%27s+Restaurant+%26+Catering/data=!4m7!3m6!1s0x80dd32b00d6a535b:0xdecbfcd8daa2c830!8m2!3d33.8825196!4d-118.1254707!16s%2Fg%2F1tt1s_d1!19sChIJW1NqDbAy3YARMMii2tj8y94?authuser=0&hl=en&rclk=1,Restaurant,,4.2,22,10 AM-6 PM,lumpia,
Oi Asian Fusion,4734 Hollywood Blvd,Los Angeles,CA,90027,US,(213) 458-1945,https://babusinfo.com/details/oi-asian-fusion-ChIJl6S,https://www.google.com/maps/place/Oi+Asian+Fusion/data=!4m7!3m6!1s0x80c2c0ac1894a497:0x278b5fd90d08532d!8m2!3d34.1013917!4d-118.2930306!16s%2Fg%2F11bwm3pzmh!19sChIJl6SUGKzAwoARLVMIDdlfiyc?authuser=0&hl=en&rclk=1,Restaurant,,4.5,263,11 AM-10 PM,"adobo, karaage, filipino, bun, burger, parking, comfort food, braised pork belly, umami, gravy",
Oi Asian Fusion,7242 Canoga Ave,Canoga Park,CA,91303,US,(818) 776-0282,,https://www.google.com/maps/place/Oi+Asian+Fusion/data=!4m7!3m6!1s0x80c299604a89f71d:0x6e8ed65ef80e6d61!8m2!3d34.2023418!4d-118.5973836!16s%2Fg%2F1q4km7qxq!19sChIJHfeJSmCZwoARYW0O-F7Wjm4?authuser=0&hl=en&rclk=1,Quick Bites & Turo-Turo,Restaurant,4.6,521,11 AM-10 PM,"adobo, pork belly, buns, tapsilog, valley, umami, filipino, crawfish, gravy, jicama",
Oriental Food Market,3428 Clayton Rd,Concord,CA,94519,US,(925) 680-6971,,https://www.google.com/maps/place/Oriental+Food+Market/data=!4m7!3m6!1s0x808560b5477a8f07:0xf48dbafb9785af49!8m2!3d37.9711832!4d-122.0142772!16s%2Fg%2F1td42qcb!19sChIJB496R7VghYARSa-Fl_u6jfQ?authuser=0&hl=en&rclk=1,Supermarket & Grocery,,4.3,17,9 AM-6 PM,"filipino food, take out",
